text,label,notes
Queta is just a flat out good starting level center now. I can't believe he's improved this much this quickly.,hot_take,Mixes disbelief (reaction) with a general claim ('good starting level center now') -> hot_take per rule B
If Embid managed to some kind of comeback+ being healthy I'm sure AD will have at least 2-3 seasons of really decent basketball,hot_take,
Yes I think one variable to look at is the new ownership group which is the most any US own team has that's private equity. The ownership group is only really allowed to be structured like this because of new loosened restrictions. So I do worry that if they don't let him spend eventually he'll find someone that does. It's too early to say for certainty what kind of leeway he will have. The new owners came in and the Tatum injury made the option of sort of a cleaning house on the contract and obvious one when they were paying $7 for every $1 over the repeater tax.,analysis,
If he’s easily better than Luka why doesn’t a single advanced stat ever agree with that? Luka’s also been better in the playoffs.,hot_take,
Phase 1: collect underpants Phase 2: ……….. Phase 3: Profit!,banter,
I said over the next 5 years. The assumption is that he reaches that level in 5 years or so and is part of the next generation. And there will be other players unknown right now that will surpass Luka as well. So nothing changes: Luka Doncic will never be the MVP.,hot_take,
He just Jimmed the camera,banter,
Open 3's = no Contested 3's = yes,banter,
Lakers are now tied with the media darling Jokic led Nuggets while Luka is averaging 33-8-8 on great efficiency and played more games than Jokic yet he’s fighting for 1st team and Jokic is borderline MVP. Makes no sense especially since Jokic has almost all the same flaws as Luka. Obviously Jokic has better efficiency and rebounding / assists but the gap shouldn’t be as big as it is. Just like in 2024 Neither should be in Cade/Brown talks. SGA is the runaway IMO rn and then Jokic and Luka,analysis,"Long, cites 33-8-8 and games played; has hot-take framing ('media darling') but the evidence carries the claim"
We talkin' about undies... we talking 'bout undies?!,banter,
He is literally a byproduct of LeBron. He will be irrelevant once LeBron retires,hot_take,
"Yeah, especially if he gets to use Jordan rules.",banter,
"> That's actually a lot more work than checking into a basketball game for like 20 seconds tbf. To be fair we’re talking about over the course of hundreds of games not just this game in particular. This is not uncommon in Cal Ripken Jr’s career but it is for Green. > AC Green is is an iron man not because he kept some record alive by playing a few seconds while injured. He's an iron man because he was barely injured. It’s both. His iron man status is remembered because of his record, he was not that remarkable a player otherwise",analysis,
His lows just looks awful since he gives up plus complain all the time but ppl overtalk about his defence so fucking much its insane. No Lakers defence isnt awful because of him they just one of the least athletic team im entire league. People were saying Smart kinda washed and he is this team best defender :p,hot_take,
This is Nick Nurse containing his frustrations. Usually he's red faced and bitching about calls for 48 minutes,banter,
We are missing an entire inside presence right now that will come back when Vuc is healthy.. We didnt have anyone that could hit him on the entry pass when he sealed down low.. Tatum can make those passes easily so i expect a lot of Tatum to Vuc down low post offense.,analysis,
Should just call them the Washington Generals at this point IYKYK,banter,
12 giannis antetokounmpos would be a nightmare,banter,"was reaction (pre-label), corrected on review"
7ft8 bodhisattva cheat code,banter,
"Brunson is averaging 10 ""potential assts"" per game and Mitchell 7 He is not hurt, this is just who he is",analysis,
"It certainly isn't as egregious as some of the jumps forward we've seen, but I still don't think *that's* a foul.",hot_take,Mild verdict about a specific call; not 'hot' in tone but asserts without support
"In the most unc fashion possible. He took a nap, slept wrong and woke up with a sore ankle LMAO",banter,
Straight up cost the Cs 2022 vs the Warriors,hot_take,
"They're normal knees, find a new slant",banter,"was hot_take (pre-label), corrected on review"
"Celtics have the toughest remaining strength of schedule for any of the east teams. Cleveland, New York, and Detroit are all in the bottom 10. Not dooming, but the Celtics will have their work cut out for them the last 20 games.",analysis,
"They'll dominate Shaqtin' a Fool highlights after Giannis is traded before the end of next season, maybe even before then.",banter,
They are surprisingly austere for a big market franchise.,hot_take,
"imagine his body develops like Giannis, slow and steady",hot_take,"was reaction (pre-label), corrected on review"
Idk about that. He’s not on the level of OG. Aaron Gordon is also making 30+ million and he’s north of 30 and played less than 90 games combined the last 2 seasons,analysis,
Annoying game from this team,reaction,
"Very hyped that we pulled this out, we probably blow this game last year and especially pre-2024",reaction,
lmaoooo does that include the players while yall were waiting for the buses to come in ?,banter,
"I always said that Luka guards Kawhi better than the other way around, and Kawhi is one of the defensive GOATS. No way is there any ""no way"" in this discussion Two of the absolute greats and it is about as neck-and-neck as possible.",hot_take,
It’s not stupid at all. It’s consistent. This ain’t baseball where you can swing a bat a couple times and stand around and call it a day,hot_take,
"The way Garza has been playing, I wouldn't make that trade again. Vuc has been awful and now he's out for a month.",hot_take,"Evidence (Garza playing well, Vuc awful + injured) is present but vague; borderline analysis"
We are well into the 'no bad ideas' portion of this crisis.,banter,
More like 21.4 ppg when available,hot_take,
"Maybe but dynasties are hard. They would be right up there with the teams I'd guess would be one, but a lot of years happen without dynasties. We may not get one for awhile, or might be witnessing one right now. Hard to say.",hot_take,
Surprise he didn't turn to the refs looking for a call.,banter,
We have 10 but a back-to-back against the Pels and you know how we like to let them win,banter,
"To be fair, Flyers are a young, unexperienced team cracking the postseason. Sixers are a collection of mostly old ass vets carrying the team with a couple of young guys that, while amazing, haven't taken on the mantle from the uncs and still defer to them.",hot_take,
Oh stfu LeBron is not the problem and has on multiple occasions been the best player in this team,hot_take,
The Spurs were playing a team that's great at rebounding and trotted out a lineup with 4 guards and Wemby. Of course rebounding was going to be an issue.,analysis,
We just call any shot in the 4th quarter a dagger now huh,banter,
"if ant went for 40 in both games shooting a combined 64% while devin booker shot a tour date in one game and missed the other, surely the wolves won those games right?",banter,"Sarcasm built on real stats (40 pts, 64%) - rule C says banter since the point is implied"
"The number he is referring to is 911, because they will need it after losing the series",banter,
No wonder Luka's been struggling lately. He got his ass kicked.,hot_take,"was banter (pre-label), corrected on review"
Really think they gotta pair him up with another big. Someone like Steven Adams would be perfect next to Wemby.,hot_take,
"Let me break this down for you. You said: >Why would the Lakers trade for AG? If the Lakers could trade DK for AG they would because AG is an elite role-player. You said: >*If he could do what they needed the Nuggets wouldn't be looking to trade him.* You are wrong here by all accounts. The Nuggets are looking for financial flexibility which can be accomplished by making some trades. AG is the Nuggets player that Non-Nuggets teams have shown the most interest in. The Lakers happen to be a Non-Nuggets team. They have been actively interested in trading DK away since the year before last. The Nuggets would prefer to trade Christian Braun over AG, but at the end of the day, they are still looking for flexibility to sign their younger star, PWat. Someone suggesting that the Lakers and Nuggets put together a trade deal involving AD and DK is completely within the realm of possibility. It would be a boon for the Lakers. That's my point.",analysis,
I’m glad you added “accidentally.” Don’t let the world forget Nico wanted Kuzma instead of PJ,hot_take,
They separate regular season and playoffs all the time. This isn’t any different,analysis,"was hot_take (pre-label), corrected on review"
